City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sao Filipe,CV,14.8961,-24.4956,72.72,68,0,9.15,clear sky
79,Kungurtug,RU,50.5994,97.5228,7.47,83,12,1.45,few clouds
80,Hobyo,SO,5.3505,48.5268,81.01,54,90,18.54,overcast clouds
81,Saldanha,ZA,-33.0117,17.9442,68.99,58,12,6.08,few clouds
82,Amberley,US,39.2048,-84.428,20.05,86,100,1.99,overcast clouds
83,Xichang,CN,27.8964,102.2634,62.89,34,88,8.08,overcast clouds
84,Rocha,UY,-34.4833,-54.3333,64.99,97,100,4.43,overcast clouds
85,Clyde River,CA,70.4692,-68.5914,-21.77,76,100,6.91,overcast clouds
86,Santa Maria,BR,-29.6842,-53.8069,72.21,92,100,3.42,moderate rain
87,Dutse,NG,11.7594,9.3392,57.6,23,6,6.78,clear sky
88,Potrerillos Abajo,PA,8.65,-82.4833,66.13,81,18,6.31,few clouds
89,Chokurdakh,RU,70.6333,147.9167,-31.77,100,57,2.06,broken clouds
90,Nhulunbuy,AU,-12.2333,136.7667,84.81,79,40,8.05,light rain
91,Norman Wells,CA,65.282,-126.8329,-10.26,95,100,5.08,overcast clouds
92,Provideniya,RU,64.3833,-173.3,0.7,72,0,10.0,clear sky
93,Qaanaaq,GL,77.484,-69.3632,1.0,73,100,6.33,overcast clouds
94,Margate,GB,51.3813,1.3862,37.96,83,8,1.99,clear sky
95,Tuktoyaktuk,CA,69.4541,-133.0374,-23.64,93,52,11.14,broken clouds
96,Bluff,NZ,-46.6,168.3333,55.8,59,70,6.13,broken clouds
97,Kashi,CN,39.4547,75.9797,31.23,74,75,2.24,broken clouds
98,Carlsbad,US,33.1581,-117.3506,60.4,27,0,1.99,clear sky
99,Port Blair,IN,11.6667,92.75,86.04,70,20,11.5,few clouds
100,Pochutla,MX,15.7432,-96.4661,73.81,72,0,3.13,clear sky
101,Lebu,CL,-37.6167,-73.65,56.3,90,3,16.91,clear sky
102,Garowe,SO,8.4054,48.4845,77.63,23,6,9.06,clear sky
103,Ponferrada,ES,42.5466,-6.5962,42.96,97,61,1.01,broken clouds
104,Georgetown,MY,5.4112,100.3354,89.53,71,40,1.99,scattered clouds
105,Praia,CV,14.9215,-23.5087,68.54,77,0,18.41,clear sky
106,Port Elizabeth,ZA,-33.918,25.5701,70.11,73,100,10.36,overcast clouds
107,Itupiranga,BR,-5.1347,-49.3267,73.72,98,100,4.85,overcast clouds
108,Atambua,ID,-9.1061,124.8925,81.73,69,83,4.65,broken clouds
109,Guerrero Negro,MX,27.9769,-114.0611,57.51,37,0,1.81,clear sky
110,Inhambane,MZ,-23.865,35.3833,87.78,58,75,13.8,broken clouds
111,Alta Floresta,BR,-9.8756,-56.0861,69.91,97,84,0.96,broken clouds
112,Berbera,SO,10.4396,45.0143,79.14,51,48,6.06,scattered clouds
113,Castro,BR,-24.7911,-50.0119,65.43,98,100,4.65,overcast clouds
114,East London,ZA,-33.0153,27.9116,67.14,100,75,2.3,light intensity drizzle
115,Vanavara,RU,60.34,102.2797,14.45,91,100,7.99,light snow
116,Khatanga,RU,71.9667,102.5,-35.91,100,60,2.46,broken clouds
117,Saint-Augustin,CA,51.226,-58.6502,-6.48,85,100,9.51,overcast clouds
118,Arraial Do Cabo,BR,-22.9661,-42.0278,75.47,89,86,20.38,overcast clouds
119,Trairi,BR,-3.2778,-39.2689,75.45,89,26,6.8,scattered clouds
120,Butaritari,KI,3.0707,172.7902,82.96,78,14,18.19,few clouds
121,Lamu,KE,-2.2717,40.902,82.62,66,100,5.79,overcast clouds
122,Nanortalik,GL,60.1432,-45.2371,12.97,60,58,39.17,broken clouds
123,Necochea,AR,-38.5473,-58.7368,64.04,81,100,9.8,overcast clouds
124,Pitimbu,BR,-7.4706,-34.8086,75.79,73,4,8.5,clear sky
125,Thinadhoo,MV,0.5333,72.9333,82.36,71,100,11.95,overcast clouds
126,Nizhniy Tsasuchey,RU,50.5167,115.1333,13.03,72,27,13.06,scattered clouds
127,Port Hedland,AU,-20.3167,118.5667,93.25,62,30,20.71,scattered clouds
128,Port Lincoln,AU,-34.7333,135.8667,75.04,49,4,11.56,clear sky
129,Tiksi,RU,71.6872,128.8694,-20.92,98,100,6.96,overcast clouds
130,Lima,PE,-12.0432,-77.0282,66.45,84,0,10.36,clear sky
131,Atuona,PF,-9.8,-139.0333,78.67,77,12,18.28,few clouds
132,Aripuana,BR,-9.1667,-60.6333,71.4,99,100,1.88,overcast clouds
133,Talnakh,RU,69.4865,88.3972,1.2,94,95,3.18,overcast clouds
134,Pocone,BR,-16.2567,-56.6228,74.71,84,98,3.78,overcast clouds
135,Lorengau,PG,-2.0226,147.2712,83.43,71,100,9.55,overcast clouds
136,Port-Cartier,CA,50.0334,-66.8654,-0.26,85,100,7.49,overcast clouds
137,Sambava,MG,-14.2667,50.1667,83.34,60,100,2.75,overcast clouds
138,Isangel,VU,-19.55,169.2667,78.26,88,100,10.07,overcast clouds
139,Bredasdorp,ZA,-34.5322,20.0403,72.28,64,52,19.57,broken clouds
140,Horsham,GB,51.064,-0.3272,39.43,87,0,5.75,clear sky
141,Bam,IR,29.106,58.357,77.47,17,0,11.88,clear sky
142,Papineauville,CA,45.6168,-75.016,7.27,94,100,3.87,overcast clouds
143,Ahipara,NZ,-35.1667,173.1667,71.29,97,100,10.18,light rain
144,Roma,US,43.2128,-75.4557,13.42,85,100,4.61,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,69.22,71,49,5.91,scattered clouds
146,Vanimo,PG,-2.6741,141.3028,83.59,76,100,10.29,overcast clouds
147,Destin,US,30.3935,-86.4958,37.96,91,100,21.85,overcast clouds
148,Marawi,PH,7.9986,124.2928,74.64,69,80,8.32,broken clouds
149,Key West,US,24.5557,-81.7826,77.0,81,0,5.75,light rain
150,Tomatlan,MX,19.9333,-105.25,63.21,76,0,2.08,clear sky
151,Mukhen,RU,48.1,136.1,1.45,90,100,4.85,overcast clouds
152,Souillac,MU,-20.5167,57.5167,84.58,79,75,20.71,light rain
153,Saltpond,GH,5.2091,-1.0606,78.94,84,17,2.93,few clouds
154,Andenes,NO,69.3143,16.1194,28.38,74,92,19.57,overcast clouds
155,George Town,MY,5.4112,100.3354,89.53,71,40,1.01,scattered clouds
